NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
1,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.4034705,20798.1751650891,100
2,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.1086313,20553.2566415894,100
3,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.1474406,21013.8125023953,100
4,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.0200273,21173.7735254058,100
5,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.1068101,22544.8156434768,100
6,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,2.9658094,19933.8685977369,100
7,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.024154,20695.4563819664,100
8,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.0272986,22175.5416930845,100
9,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.0621479,21248.1815432149,100
10,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,3.0365819,20943.7824643582,100
