NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
1,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,50,1,1,1.0616923,1358.40090064108,65
2,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,50,1,1,0.6908164,1353.00072781216,73
3,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,50,1,1,0.327057,1661.65373984709,29
4,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,50,1,1,0.5569116,1461.88126027155,57
5,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,50,1,1,0.4490222,1382.87895660344,45
6,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,50,1,1,0.3455317,1726.34990743489,33
7,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,50,1,1,0.9861081,1345.06697205499,79
8,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,50,1,1,0.1458582,1933.00925570168,13
9,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,50,1,1,0.2960014,1833.19491559333,27
10,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,50,1,1,0.3329364,1673.99978191996,35
1,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,50,1,1,0.1955391,1996.15877579365,17
2,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,50,1,1,0.2391736,1939.37674927331,19
3,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,50,1,1,0.9081206,1213.90902338267,100
4,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,50,1,1,0.4028983,1521.50230169444,43
5,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,50,1,1,0.2578046,1705.8362878276,27
6,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,50,1,1,0.183366,1908.46005526219,19
7,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,50,1,1,0.2351877,1734.35024279985,23
8,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,50,1,1,0.4578685,1621.55149421025,35
9,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,50,1,1,0.1588167,2050.98933008377,17
10,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,50,1,1,0.2158206,1789.11920315787,23
1,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,50,1,1,0.207139,1958.26087711854,21
2,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,50,1,1,0.2244857,1729.23936844562,23
3,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,50,1,1,0.2740411,1855.44095191455,21
4,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,50,1,1,0.2599552,1690.70429855255,25
5,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,50,1,1,0.2071259,1843.65562069057,21
6,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,50,1,1,0.2230806,1812.85212156207,23
7,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,50,1,1,0.21564,1838.53216115711,21
8,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,50,1,1,0.2653026,1777.40546146414,23
9,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,50,1,1,0.4420528,1736.6151709557,23
10,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,50,1,1,0.5072592,1693.915617913,23
1,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,50,1,1,0.6761632,1358.40090064108,65
2,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,50,1,1,0.6950187,1353.00072781216,73
3,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,50,1,1,0.277041,1661.65373984709,29
4,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,50,1,1,0.5345255,1461.88126027155,57
5,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,50,1,1,0.4074302,1382.87895660344,45
6,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,50,1,1,0.3040586,1726.34990743489,33
7,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,50,1,1,0.7126788,1345.06697205499,79
8,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,50,1,1,0.1336352,1933.00925570168,13
9,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,50,1,1,0.2669426,1833.19491559333,27
10,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,50,1,1,0.3276293,1673.99978191996,35
1,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,50,1,1,0.1821827,1996.15877579365,17
2,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,50,1,1,0.203382,1939.37674927331,19
3,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,50,1,1,0.8561597,1213.90902338267,100
4,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,50,1,1,0.3846739,1521.50230169444,43
5,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,50,1,1,0.2615991,1705.8362878276,27
6,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,50,1,1,0.1910992,1908.46005526219,19
