NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
7,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,50,1,1,0.2300252,1734.35024279985,23
8,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,50,1,1,0.3281646,1621.55149421025,35
9,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,50,1,1,0.1710508,2050.98933008377,17
10,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,50,1,1,0.2069805,1789.11920315787,23
1,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,50,1,1,0.1968104,1958.26087711854,21
2,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,50,1,1,0.2073543,1729.23936844562,23
3,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,50,1,1,0.2007402,1855.44095191455,21
4,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,50,1,1,0.263882,1690.70429855255,25
5,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,50,1,1,0.2117418,1843.65562069057,21
6,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,50,1,1,0.2288597,1812.85212156207,23
7,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,50,1,1,0.2045048,1838.53216115711,21
8,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,50,1,1,0.2199723,1777.40546146414,23
9,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,50,1,1,0.2198018,1736.6151709557,23
10,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,50,1,1,0.2176974,1693.915617913,23
1,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,50,1,1,0.5801613,1358.40090064108,65
2,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,50,1,1,0.6895292,1353.00072781216,73
3,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,50,1,1,0.2953043,1661.65373984709,29
4,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,50,1,1,0.5507978,1461.88126027155,57
5,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,50,1,1,0.3982279,1382.87895660344,45
6,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,50,1,1,0.3183311,1726.34990743489,33
7,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,50,1,1,0.6992251,1345.06697205499,79
8,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,50,1,1,0.1278862,1933.00925570168,13
9,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,50,1,1,0.2635543,1833.19491559333,27
10,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,50,1,1,0.3306982,1673.99978191996,35
1,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,50,1,1,0.1945491,1996.15877579365,17
2,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,50,1,1,0.2065218,1939.37674927331,19
3,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,50,1,1,0.8893324,1213.90902338267,100
4,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,50,1,1,0.4020085,1521.50230169444,43
5,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,50,1,1,0.2851521,1705.8362878276,27
6,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,50,1,1,0.1771279,1908.46005526219,19
7,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,50,1,1,0.229767,1734.35024279985,23
8,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,50,1,1,0.3342627,1621.55149421025,35
9,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,50,1,1,0.1706294,2050.98933008377,17
10,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,50,1,1,0.2274065,1789.11920315787,23
1,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,50,1,1,0.1947553,1958.26087711854,21
2,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,50,1,1,0.23261,1729.23936844562,23
3,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,50,1,1,0.2297401,1855.44095191455,21
4,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,50,1,1,0.2446299,1690.70429855255,25
5,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,50,1,1,0.2333022,1843.65562069057,21
6,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,50,1,1,0.2134561,1812.85212156207,23
7,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,50,1,1,0.1987242,1838.53216115711,21
8,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,50,1,1,0.2209154,1777.40546146414,23
9,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,50,1,1,0.2227118,1736.6151709557,23
10,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,50,1,1,0.2765972,1693.915617913,23
1,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,70,1,1,0.1053816,2168.66399280309,11
2,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,70,1,1,0.1501446,1937.11049065109,15
3,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,70,1,1,0.2943346,1693.45547578202,31
4,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,70,1,1,0.1420076,1930.77108962626,15
5,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,70,1,1,0.3624048,1463.76763279365,41
6,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,70,1,1,0.1137521,2175.36640519666,11
7,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,70,1,1,0.3161146,1552.41285022912,35
8,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,70,1,1,0.1921536,1836.02226906832,19
9,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,70,1,1,0.1508114,2072.21836773598,15
10,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,70,1,1,0.1582278,1968.63143171394,15
1,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,70,1,1,0.167352,1996.15877579365,17
2,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,70,1,1,0.1662609,1983.34383993216,17
3,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,70,1,1,0.1498758,2101.74523986178,15
4,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,70,1,1,0.2271519,1761.98143152707,25
5,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,70,1,1,0.2176579,1781.89873258904,23
6,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,70,1,1,0.2519959,1715.0129925536,27
7,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,70,1,1,0.2953742,1507.11043112348,33
8,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,70,1,1,0.1114433,2168.23978423921,11
9,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,70,1,1,0.1775523,1888.47319193213,17
10,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,70,1,1,0.1749402,1882.88627344316,19
1,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,70,1,1,0.1544425,2073.80649606316,15
2,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,70,1,1,0.1839262,1852.26548883126,19
3,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,70,1,1,0.1991353,1751.68867993711,19
4,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,70,1,1,0.1694342,1739.07257843821,19
5,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,70,1,1,0.137985,2040.35853580128,15
6,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,70,1,1,0.1873817,1765.15397365158,19
7,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,70,1,1,0.1567702,1814.89669068074,17
8,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,70,1,1,0.1447059,1959.24385693429,15
9,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,70,1,1,0.4368168,1771.57425181973,17
10,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,70,1,1,0.2648305,1837.07623893718,17
1,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,70,1,1,0.1274823,2168.66399280309,11
2,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,70,1,1,0.1836627,1937.11049065109,15
3,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,70,1,1,0.4784633,1693.45547578202,31
4,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,70,1,1,0.2543427,1930.77108962626,15
5,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,70,1,1,0.5196586,1463.76763279365,41
6,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,70,1,1,0.1613194,2175.36640519666,11
7,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,70,1,1,0.3787515,1552.41285022912,35
8,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,70,1,1,0.4529194,1836.02226906832,19
9,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,70,1,1,0.1774284,2072.21836773598,15
10,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,70,1,1,0.2329627,1968.63143171394,15
1,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,70,1,1,0.2278452,1996.15877579365,17
2,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,70,1,1,0.1818448,1983.34383993216,17
3,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,70,1,1,0.4357375,2101.74523986178,15
4,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,70,1,1,0.8134289,1761.98143152707,25
5,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,70,1,1,0.3535043,1781.89873258904,23
6,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,70,1,1,0.2792004,1715.0129925536,27
7,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,70,1,1,0.8986738,1507.11043112348,33
8,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,70,1,1,0.3589626,2168.23978423921,11
9,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,70,1,1,0.8485851,1888.47319193213,17
10,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,70,1,1,0.5599261,1882.88627344316,19
1,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,70,1,1,0.3880132,2073.80649606316,15
2,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,70,1,1,0.4023835,1852.26548883126,19
3,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,70,1,1,0.3725667,1751.68867993711,19
4,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,70,1,1,0.250058,1739.07257843821,19
5,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,70,1,1,0.508157,2040.35853580128,15
6,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,70,1,1,0.2591208,1765.15397365158,19
7,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,70,1,1,0.2462595,1814.89669068074,17
8,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,70,1,1,0.1733379,1959.24385693429,15
9,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,70,1,1,0.2443648,1771.57425181973,17
10,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,70,1,1,0.3722463,1837.07623893718,17
1,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,70,1,1,0.2114385,2168.66399280309,11
2,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,70,1,1,0.3097005,1937.11049065109,15
3,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,70,1,1,0.3688577,1693.45547578202,31
4,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,70,1,1,0.1678594,1930.77108962626,15
5,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,70,1,1,0.5795021,1463.76763279365,41
6,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,70,1,1,0.2000847,2175.36640519666,11
7,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,70,1,1,0.7166425,1552.41285022912,35
8,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,70,1,1,0.4528718,1836.02226906832,19
9,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,70,1,1,0.1997119,2072.21836773598,15
10,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,70,1,1,0.1745427,1968.63143171394,15
1,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,70,1,1,0.1756298,1996.15877579365,17
2,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,70,1,1,0.1812124,1983.34383993216,17
3,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,70,1,1,0.1915862,2101.74523986178,15
4,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,70,1,1,0.2621051,1761.98143152707,25
5,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,70,1,1,0.2389332,1781.89873258904,23
6,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,70,1,1,0.2684605,1715.0129925536,27
7,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,70,1,1,0.3184181,1507.11043112348,33
8,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,70,1,1,0.1069564,2168.23978423921,11
9,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,70,1,1,0.2128966,1888.47319193213,17
10,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,70,1,1,0.1943735,1882.88627344316,19
1,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,70,1,1,0.1574499,2073.80649606316,15
2,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,70,1,1,0.2086597,1852.26548883126,19
3,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,70,1,1,0.2097157,1751.68867993711,19
4,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,70,1,1,0.1951016,1739.07257843821,19
5,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,70,1,1,0.1668739,2040.35853580128,15
6,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,70,1,1,0.203994,1765.15397365158,19
7,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,70,1,1,0.1774177,1814.89669068074,17
8,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,70,1,1,0.1443597,1959.24385693429,15
9,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,70,1,1,0.1691057,1771.57425181973,17
10,xalt_edges,128,100,0.05,0.05,0.95,3,0.6,70,1,1,0.1740447,1837.07623893718,17
1,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,100,1,1,0.8996998,1195.51705805256,100
2,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,100,1,1,0.1270838,2082.46291622034,11
3,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,100,1,1,0.1137966,2207.64479232449,11
4,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,100,1,1,0.1234201,1997.48279272299,11
5,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,100,1,1,0.9005773,1289.2284796651,100
6,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,100,1,1,0.1187912,2206.3230684171,11
7,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,100,1,1,0.1749456,1828.77965578656,17
8,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,100,1,1,0.1056204,1976.63729971876,11
9,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,100,1,1,0.9036433,1276.10376105085,100
10,xalt_edges,128,100,0.05,0.05,0.95,1,0.2,100,1,1,0.1546413,1897.04592712025,15
1,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,100,1,1,0.1176261,2168.66399280309,11
2,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,100,1,1,0.1279331,1978.85942341658,13
3,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,100,1,1,0.1113876,2137.32503458655,11
4,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,100,1,1,0.1175799,1974.59730364717,11
5,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,100,1,1,0.9121208,1200.94913815636,100
6,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,100,1,1,0.9155223,1137.57139092396,100
7,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,100,1,1,0.9080279,1255.85753939563,100
8,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,100,1,1,0.2627511,1783.42157827113,27
9,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,100,1,1,0.117228,2145.15296282787,11
10,xalt_edges,128,100,0.05,0.05,0.95,2,0.2,100,1,1,0.1801323,1906.38901126742,17
1,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,100,1,1,0.1284758,2129.33982684933,13
2,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,100,1,1,0.1325507,2141.21149861752,13
3,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,100,1,1,0.1257418,2075.19288477001,13
4,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,100,1,1,0.149363,1965.36926239613,13
5,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,100,1,1,0.1295987,2204.08428278809,13
6,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,100,1,1,0.1279901,2101.26827147636,13
7,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,100,1,1,0.1569232,1859.74984211061,15
8,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,100,1,1,0.1184889,2248.67941347952,11
9,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,100,1,1,0.1303312,1917.93846296557,13
10,xalt_edges,128,100,0.05,0.05,0.95,3,0.2,100,1,1,0.1351835,1880.93116435696,13
1,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,100,1,1,0.8836755,1195.51705805256,100
2,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,100,1,1,0.1114581,2082.46291622034,11
3,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,100,1,1,0.1164774,2207.64479232449,11
4,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,100,1,1,0.1202019,1997.48279272299,11
5,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,100,1,1,0.8679792,1289.2284796651,100
6,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,100,1,1,0.1263157,2206.3230684171,11
7,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,100,1,1,0.1651562,1828.77965578656,17
8,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,100,1,1,0.115703,1976.63729971876,11
9,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,100,1,1,0.8912922,1276.10376105085,100
10,xalt_edges,128,100,0.05,0.05,0.95,1,0.4,100,1,1,0.1621392,1897.04592712025,15
1,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,100,1,1,0.1465281,2168.66399280309,11
2,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,100,1,1,0.1600054,1978.85942341658,13
3,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,100,1,1,0.1163513,2137.32503458655,11
4,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,100,1,1,0.1184877,1974.59730364717,11
5,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,100,1,1,0.9078751,1200.94913815636,100
6,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,100,1,1,0.9085115,1137.57139092396,100
7,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,100,1,1,0.9393023,1255.85753939563,100
8,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,100,1,1,0.2612008,1783.42157827113,27
9,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,100,1,1,0.1325303,2145.15296282787,11
10,xalt_edges,128,100,0.05,0.05,0.95,2,0.4,100,1,1,0.1646091,1906.38901126742,17
1,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,100,1,1,0.1361361,2129.33982684933,13
2,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,100,1,1,0.1423259,2141.21149861752,13
3,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,100,1,1,0.1266978,2075.19288477001,13
4,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,100,1,1,0.1420248,1965.36926239613,13
5,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,100,1,1,0.1280092,2204.08428278809,13
6,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,100,1,1,0.1376448,2101.26827147636,13
7,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,100,1,1,0.1521179,1859.74984211061,15
8,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,100,1,1,0.1159434,2248.67941347952,11
9,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,100,1,1,0.1362331,1917.93846296557,13
10,xalt_edges,128,100,0.05,0.05,0.95,3,0.4,100,1,1,0.1324179,1880.93116435696,13
1,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,100,1,1,0.9053356,1195.51705805256,100
2,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,100,1,1,0.1079027,2082.46291622034,11
3,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,100,1,1,0.1067256,2207.64479232449,11
4,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,100,1,1,0.1190617,1997.48279272299,11
5,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,100,1,1,0.8891756,1289.2284796651,100
6,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,100,1,1,0.1164698,2206.3230684171,11
7,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,100,1,1,0.1777745,1828.77965578656,17
8,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,100,1,1,0.1104303,1976.63729971876,11
9,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,100,1,1,0.9081528,1276.10376105085,100
10,xalt_edges,128,100,0.05,0.05,0.95,1,0.6,100,1,1,0.1548414,1897.04592712025,15
1,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,100,1,1,0.1171333,2168.66399280309,11
2,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,100,1,1,0.1364173,1978.85942341658,13
3,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,100,1,1,0.1105291,2137.32503458655,11
4,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,100,1,1,0.1135466,1974.59730364717,11
5,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,100,1,1,1.3663888,1200.94913815636,100
6,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,100,1,1,1.4084955,1137.57139092396,100
7,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,100,1,1,1.3943663,1255.85753939563,100
8,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,100,1,1,0.7496323,1783.42157827113,27
9,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,100,1,1,0.4366718,2145.15296282787,11
10,xalt_edges,128,100,0.05,0.05,0.95,2,0.6,100,1,1,0.6565542,1906.38901126742,17
