NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
1,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,1.2268564,1195.51705805256,100
2,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,0.8438913,1183.80680490946,100
3,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,0.8201225,1224.93774145888,100
4,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,0.8208086,1253.36891196275,100
5,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,0.7881365,1214.28347253892,100
6,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,0.7691804,1166.70626011248,100
7,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,0.7874311,1158.94908023319,100
8,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,0.785356,1185.26914417878,100
9,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,0.7630252,1247.27682547029,100
10,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,0.7917871,1290.86549903664,100
