NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
1,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,1,1,0.1457616,2168.66399280309,11
2,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,1,1,0.1365992,1978.85942341658,13
3,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,1,1,0.1360604,2137.32503458655,11
4,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,1,1,0.1046023,1974.59730364717,11
5,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,1,1,1.5209177,1025.70980562812,200
6,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,1,1,0.1034693,2033.7987973668,11
7,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,1,1,0.097786,2105.38743383386,11
8,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,1,1,1.5971867,1012.95429808045,200
9,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,1,1,0.1486486,1793.46134800301,17
10,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,1,1,1.5479095,965.162174672472,200
1,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,2,1,2.1255585,812.118306533568,200
2,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,2,1,3.1754765,843.740013332575,200
3,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,2,1,3.0815975,789.962951775594,200
4,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,2,1,2.2444966,839.188793316031,200
5,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,2,1,1.7886264,804.644500189391,200
6,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,2,1,1.9217897,787.073141168062,200
7,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,2,1,1.9762661,783.308132027882,200
8,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,2,1,2.5164491,758.641995901477,200
9,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,2,1,2.6192504,812.714314961106,200
10,xalt_edges,128,200,0.05,0.05,0.95,2,0.2,100,2,1,1.9533744,771.368388839565,200
