NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,SelectionMethode,Time,ShortestPath,Generations
1,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,106.7745237,2324.25163600509,300
2,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,101.4933683,2223.56675024041,300
3,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,109.5548412,2199.49691078706,300
4,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,117.3249768,1982.13882706335,300
5,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,94.4450127,2013.93174124316,300
6,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,103.8759532,2143.16180092368,300
7,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,106.0047597,2153.75612541839,300
8,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,100.4253564,1976.45454974358,300
9,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,97.6828137,2236.1576917809,300
10,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,102.750757,1985.38337852809,300
