NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,Time,ShortestPath,Generations
9,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.0904257,1613.62154967368,300
10,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.0503736,1652.85415457329,300
1,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.0617769,1593.95066271458,300
2,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.0473675,1496.91600662724,300
3,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.0405211,1569.41759432478,300
4,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.0910474,1627.8945810222,300
5,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.0959224,1653.60323480606,300
6,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.3618298,1610.32504348657,300
7,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,6.3746172,1596.71764039765,300
8,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.9195947,1565.38818886313,300
9,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.8994386,1613.62154967368,300
10,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,inversion,5.8532637,1652.85415457329,300
1,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.395767,1640.3109456812,300
2,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.4629335,1623.16988847611,300
3,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.4748284,1592.70423422726,300
4,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.5556375,1600.91189179676,300
5,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.3924096,1570.96105009889,300
6,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.3825178,1649.16316663155,300
7,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.3863728,1681.46094375263,300
8,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.3743399,1640.73334187213,300
9,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.4038881,1659.84077947073,300
10,xalt_edges,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.4816694,1598.02299853928,300
1,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.4158509,1640.3109456812,300
2,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.4669825,1623.16988847611,300
3,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.4157645,1592.70423422726,300
4,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.3978387,1600.91189179676,300
5,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.3881678,1570.96105009889,300
6,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.4133835,1649.16316663155,300
7,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.4424363,1681.46094375263,300
8,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.4102446,1640.73334187213,300
9,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.4019675,1659.84077947073,300
10,xpmx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.3865011,1598.02299853928,300
1,x_orderx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.3977098,1640.3109456812,300
2,x_orderx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.3846932,1623.16988847611,300
3,x_orderx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.4017791,1592.70423422726,300
4,x_orderx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.6732036,1600.91189179676,300
5,x_orderx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.4032149,1570.96105009889,300
6,x_orderx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.3950336,1649.16316663155,300
7,x_orderx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.3934894,1681.46094375263,300
8,x_orderx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.3967002,1640.73334187213,300
9,x_orderx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,5.5105909,1659.84077947073,300
10,x_orderx,300,300,0.1,0.7,0.15,4,0.5,70,1,2,inversion,6.0159005,1598.02299853928,300
1,xalt_edges,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.3505123,1632.89812546847,300
2,xalt_edges,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2118558,1676.98962145163,300
3,xalt_edges,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2185703,1565.987632656,300
4,xalt_edges,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.211375,1735.87054321571,300
5,xalt_edges,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2151912,1705.30517252436,300
6,xalt_edges,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.1862653,1645.19678204205,300
7,xalt_edges,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2031379,1679.98334639095,300
8,xalt_edges,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2165927,1751.97198954011,300
9,xalt_edges,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2439166,1714.81209566779,300
10,xalt_edges,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2071321,1655.7093283732,300
1,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.231631,1632.89812546847,300
2,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2462748,1676.98962145163,300
3,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.6318215,1565.987632656,300
4,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,7.1185816,1735.87054321571,300
5,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.9797008,1705.30517252436,300
6,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.3721885,1645.19678204205,300
7,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2865876,1679.98334639095,300
8,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2337584,1751.97198954011,300
9,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2161266,1714.81209566779,300
10,xpmx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2062358,1655.7093283732,300
1,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.199531,1632.89812546847,300
2,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2188696,1676.98962145163,300
3,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2179628,1565.987632656,300
4,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2039741,1735.87054321571,300
5,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2372304,1705.30517252436,300
6,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.1992584,1645.19678204205,300
7,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2369201,1679.98334639095,300
8,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.2024912,1751.97198954011,300
9,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.1945849,1714.81209566779,300
10,x_orderx,300,300,0.01,0.65,0.15,4,0.5,70,1,2,inversion,6.1907184,1655.7093283732,300
1,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8269317,1593.95066271458,300
2,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8528592,1496.91600662724,300
3,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8612362,1569.41759432478,300
4,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8387278,1627.8945810222,300
5,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8681362,1653.60323480606,300
6,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8228171,1610.32504348657,300
7,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8373688,1596.71764039765,300
8,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8432878,1565.38818886313,300
9,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8458229,1613.62154967368,300
10,xalt_edges,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.845361,1652.85415457329,300
1,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8475434,1593.95066271458,300
2,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8660437,1496.91600662724,300
3,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,6.0926867,1569.41759432478,300
4,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8557132,1627.8945810222,300
5,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.863559,1653.60323480606,300
6,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8592747,1610.32504348657,300
7,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8556325,1596.71764039765,300
8,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.888243,1565.38818886313,300
9,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,6.48031,1613.62154967368,300
10,xpmx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,6.5272582,1652.85415457329,300
1,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,6.2449165,1593.95066271458,300
2,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,6.3536015,1496.91600662724,300
3,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8569634,1569.41759432478,300
4,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.8825156,1627.8945810222,300
5,x_orderx,300,300,0.05,0.65,0.15,4,0.5,70,1,2,inversion,5.827618,1653.60323480606,300
