NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,SurvivalMethode,q,Time,ShortestPath,Generations
7,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,50,92.8199609,3857.42099806557,100
8,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,50,102.081696,3850.41414621448,100
9,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,50,103.8540793,3910.08406403011,100
10,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,50,83.7281817,3936.89687441081,100
1,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,50,93.5829375,4013.42400701064,100
2,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,50,102.7799366,3586.07845344895,100
3,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,50,106.8429117,3548.09564157343,100
4,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,50,141.9982563,4226.31014621861,100
5,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,50,97.4825343,3708.28563789856,100
6,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,50,98.9258817,4010.15799317329,100
7,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,50,96.5420929,4065.93803387566,100
8,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,50,94.4263137,4180.28396290952,100
9,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,50,110.9413524,3814.50020252832,100
10,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,50,96.2440089,4069.49367866684,100
1,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,100,94.8191956,4070.079128922,100
2,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,100,97.7294276,3856.89307886182,100
3,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,100,96.8101732,3488.3450913866,100
4,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,100,109.142324,3726.75718947095,100
5,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,100,107.6267691,3920.90886045918,100
6,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,100,110.1164112,3399.41530041342,100
7,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,100,89.5669789,3857.42099806557,100
8,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,100,98.6517579,3850.41414621448,100
9,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,100,100.5966413,3910.08406403011,100
10,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,1,100,80.9699937,3936.89687441081,100
1,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,100,92.1772437,4013.42400701064,100
2,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,100,101.3818977,3586.07845344895,100
3,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,100,100.3334691,3548.09564157343,100
4,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,100,100.4937855,4226.31014621861,100
5,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,100,96.7046774,3708.28563789856,100
6,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,100,96.3252784,4010.15799317329,100
7,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,100,97.8801023,4065.93803387566,100
8,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,100,94.9208951,4180.28396290952,100
9,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,100,108.7339044,3814.50020252832,100
10,uhx,300,100,0.05,0.7,0.3,4,0.5,70,2,2,inversion,2,100,140.365037,4069.49367866684,100
