NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,SelectionMethode,Time,ShortestPath,Generations
1,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,390.6460548,4057.48315010388,300
2,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,383.1556333,4253.4289029673,300
3,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,391.3034923,4154.90719110597,300
4,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,446.0319468,4649.96934207408,300
5,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,453.2764129,4240.45595417431,300
6,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,395.6718815,4152.20884328203,300
7,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,355.2989288,4393.03350933029,300
8,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,317.2283838,4526.96217251755,300
9,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,397.5177367,4261.74042155784,300
10,uhx,300,300,0.05,0.7,0.3,4,0.5,70,2,2,scramble,fps,357.2304473,4483.35996793724,300
