NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,MutationMethode,Time,ShortestPath,Generations
9,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.0163486,937.806534225102,300
10,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.006348,932.069350530743,300
1,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.0077354,935.65589958974,300
2,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.1005244,961.393672017736,300
3,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.1741447,926.20993384488,300
4,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.0733312,894.189346481726,300
5,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.0256284,945.485676187894,300
6,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.0154139,847.903600489903,300
7,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.0662607,869.90272013154,300
8,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.0046434,992.224281823982,300
9,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.02976,937.806534225102,300
10,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.0302427,932.069350530743,300
1,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.0341311,935.65589958974,300
2,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.0159069,961.393672017736,300
3,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.0508766,926.20993384488,300
4,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.0591154,894.189346481726,300
5,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.042711,945.485676187894,300
6,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.0042506,847.903600489903,300
7,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.7452739,869.90272013154,300
8,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,7.2807998,992.224281823982,300
9,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.5980277,937.806534225102,300
10,x_orderx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.1575929,932.069350530743,300
1,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.7478447,666.355795360418,300
2,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.7025068,677.453110914348,300
3,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,6.9048706,655.00427240763,300
4,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,7.2869017,663.484890922182,300
5,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,7.5806313,654.981980285378,300
6,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,7.5328568,677.013981124551,300
7,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,8.1413354,650.737299583424,300
8,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,7.2780567,665.950274908222,300
9,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,7.1432761,677.912938948592,300
10,uhx,300,300,0.05,0.7,0.15,4,0.5,70,2,2,inversion,7.1380461,658.799915795456,300
1,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.3764621,2022.42366835365,300
2,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.2081362,1958.55144285044,300
3,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.6943433,2097.40745201448,300
4,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,5.8486463,1896.33211131768,300
5,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,5.8418853,1968.68967790034,300
6,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,5.9212308,2046.77468919331,300
7,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.4245605,1870.75101706055,300
8,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.1218545,1871.54386927705,300
9,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.3257366,2003.23768432996,300
10,xalt_edges,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.3396034,1886.50982819958,300
1,xpmx,300,300,0.05,0.7,0.15,4,0.5,70,1,2,reciprocal_exchange,6.0476114,2022.42366835365,300
