NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
6,xalt_edges,96,60,0,1,0.05,4,1,1,1,1,1.478761,2346.19662878089,60
7,xalt_edges,96,60,0,1,0.05,4,1,1,1,1,1.4728549,2346.19662878089,60
8,xalt_edges,96,60,0,1,0.05,4,1,1,1,1,1.520693,2346.19662878089,60
9,xalt_edges,96,60,0,1,0.05,4,1,1,1,1,1.5196299,2346.19662878089,60
10,xalt_edges,96,60,0,1,0.05,4,1,1,1,1,1.4981721,2346.19662878089,60
1,xalt_edges,128,60,0,1,0.05,4,1,1,1,1,1.9755211,2252.51929798011,60
2,xalt_edges,128,60,0,1,0.05,4,1,1,1,1,1.972396,2252.51929798011,60
3,xalt_edges,128,60,0,1,0.05,4,1,1,1,1,1.9799495,2252.51929798011,60
4,xalt_edges,128,60,0,1,0.05,4,1,1,1,1,1.9827956,2252.51929798011,60
5,xalt_edges,128,60,0,1,0.05,4,1,1,1,1,2.0079126,2252.51929798011,60
6,xalt_edges,128,60,0,1,0.05,4,1,1,1,1,2.0145263,2252.51929798011,60
7,xalt_edges,128,60,0,1,0.05,4,1,1,1,1,2.0262146,2252.51929798011,60
8,xalt_edges,128,60,0,1,0.05,4,1,1,1,1,1.9676479,2252.51929798011,60
9,xalt_edges,128,60,0,1,0.05,4,1,1,1,1,1.9586822,2252.51929798011,60
10,xalt_edges,128,60,0,1,0.05,4,1,1,1,1,1.9858089,2252.51929798011,60
1,xalt_edges,32,80,0,1,0.05,4,1,1,1,1,0.6761773,2266.65988064811,80
2,xalt_edges,32,80,0,1,0.05,4,1,1,1,1,0.6720966,2266.65988064811,80
3,xalt_edges,32,80,0,1,0.05,4,1,1,1,1,0.689208,2266.65988064811,80
4,xalt_edges,32,80,0,1,0.05,4,1,1,1,1,0.6706405,2266.65988064811,80
5,xalt_edges,32,80,0,1,0.05,4,1,1,1,1,0.6768386,2266.65988064811,80
6,xalt_edges,32,80,0,1,0.05,4,1,1,1,1,0.6672199,2266.65988064811,80
7,xalt_edges,32,80,0,1,0.05,4,1,1,1,1,0.6682415,2266.65988064811,80
8,xalt_edges,32,80,0,1,0.05,4,1,1,1,1,0.6739491,2266.65988064811,80
9,xalt_edges,32,80,0,1,0.05,4,1,1,1,1,0.6864792,2266.65988064811,80
10,xalt_edges,32,80,0,1,0.05,4,1,1,1,1,0.6810623,2266.65988064811,80
1,xalt_edges,64,80,0,1,0.05,4,1,1,1,1,1.3331506,2247.86811835756,80
2,xalt_edges,64,80,0,1,0.05,4,1,1,1,1,1.320036,2247.86811835756,80
3,xalt_edges,64,80,0,1,0.05,4,1,1,1,1,1.3632231,2247.86811835756,80
4,xalt_edges,64,80,0,1,0.05,4,1,1,1,1,1.3532875,2247.86811835756,80
5,xalt_edges,64,80,0,1,0.05,4,1,1,1,1,1.3495911,2247.86811835756,80
6,xalt_edges,64,80,0,1,0.05,4,1,1,1,1,1.37405,2247.86811835756,80
7,xalt_edges,64,80,0,1,0.05,4,1,1,1,1,1.3547653,2247.86811835756,80
8,xalt_edges,64,80,0,1,0.05,4,1,1,1,1,1.3351254,2247.86811835756,80
9,xalt_edges,64,80,0,1,0.05,4,1,1,1,1,1.3246016,2247.86811835756,80
10,xalt_edges,64,80,0,1,0.05,4,1,1,1,1,1.3387697,2247.86811835756,80
1,xalt_edges,96,80,0,1,0.05,4,1,1,1,1,2.00359,2222.83071167715,80
2,xalt_edges,96,80,0,1,0.05,4,1,1,1,1,2.0063448,2222.83071167715,80
3,xalt_edges,96,80,0,1,0.05,4,1,1,1,1,1.9799822,2222.83071167715,80
4,xalt_edges,96,80,0,1,0.05,4,1,1,1,1,2.0019144,2222.83071167715,80
5,xalt_edges,96,80,0,1,0.05,4,1,1,1,1,1.9674401,2222.83071167715,80
6,xalt_edges,96,80,0,1,0.05,4,1,1,1,1,2.0171912,2222.83071167715,80
7,xalt_edges,96,80,0,1,0.05,4,1,1,1,1,1.9704215,2222.83071167715,80
8,xalt_edges,96,80,0,1,0.05,4,1,1,1,1,1.9866339,2222.83071167715,80
9,xalt_edges,96,80,0,1,0.05,4,1,1,1,1,1.9856149,2222.83071167715,80
10,xalt_edges,96,80,0,1,0.05,4,1,1,1,1,1.994792,2222.83071167715,80
1,xalt_edges,128,80,0,1,0.05,4,1,1,1,1,2.6575654,2294.45312149019,80
2,xalt_edges,128,80,0,1,0.05,4,1,1,1,1,2.6425195,2294.45312149019,80
3,xalt_edges,128,80,0,1,0.05,4,1,1,1,1,2.6595936,2294.45312149019,80
4,xalt_edges,128,80,0,1,0.05,4,1,1,1,1,2.6693319,2294.45312149019,80
5,xalt_edges,128,80,0,1,0.05,4,1,1,1,1,2.6852749,2294.45312149019,80
6,xalt_edges,128,80,0,1,0.05,4,1,1,1,1,2.6370637,2294.45312149019,80
7,xalt_edges,128,80,0,1,0.05,4,1,1,1,1,2.6307441,2294.45312149019,80
8,xalt_edges,128,80,0,1,0.05,4,1,1,1,1,2.7734392,2294.45312149019,80
9,xalt_edges,128,80,0,1,0.05,4,1,1,1,1,2.6671286,2294.45312149019,80
10,xalt_edges,128,80,0,1,0.05,4,1,1,1,1,2.6689498,2294.45312149019,80
1,xalt_edges,32,100,0,1,0.05,4,1,1,1,1,0.8683882,2370.27762447795,100
2,xalt_edges,32,100,0,1,0.05,4,1,1,1,1,0.8514807,2370.27762447795,100
3,xalt_edges,32,100,0,1,0.05,4,1,1,1,1,0.8402379,2370.27762447795,100
4,xalt_edges,32,100,0,1,0.05,4,1,1,1,1,0.8420022,2370.27762447795,100
5,xalt_edges,32,100,0,1,0.05,4,1,1,1,1,0.8941207,2370.27762447795,100
6,xalt_edges,32,100,0,1,0.05,4,1,1,1,1,0.8607828,2370.27762447795,100
7,xalt_edges,32,100,0,1,0.05,4,1,1,1,1,0.8802776,2370.27762447795,100
8,xalt_edges,32,100,0,1,0.05,4,1,1,1,1,0.8592867,2370.27762447795,100
9,xalt_edges,32,100,0,1,0.05,4,1,1,1,1,0.8351706,2370.27762447795,100
10,xalt_edges,32,100,0,1,0.05,4,1,1,1,1,0.8446278,2370.27762447795,100
1,xalt_edges,64,100,0,1,0.05,4,1,1,1,1,1.7062356,2401.19098923268,100
2,xalt_edges,64,100,0,1,0.05,4,1,1,1,1,1.6792202,2401.19098923268,100
3,xalt_edges,64,100,0,1,0.05,4,1,1,1,1,1.6949512,2401.19098923268,100
4,xalt_edges,64,100,0,1,0.05,4,1,1,1,1,1.6689256,2401.19098923268,100
5,xalt_edges,64,100,0,1,0.05,4,1,1,1,1,1.6782747,2401.19098923268,100
6,xalt_edges,64,100,0,1,0.05,4,1,1,1,1,1.6872778,2401.19098923268,100
7,xalt_edges,64,100,0,1,0.05,4,1,1,1,1,1.6817807,2401.19098923268,100
8,xalt_edges,64,100,0,1,0.05,4,1,1,1,1,1.6767364,2401.19098923268,100
9,xalt_edges,64,100,0,1,0.05,4,1,1,1,1,1.6690378,2401.19098923268,100
10,xalt_edges,64,100,0,1,0.05,4,1,1,1,1,1.6643379,2401.19098923268,100
1,xalt_edges,96,100,0,1,0.05,4,1,1,1,1,2.5109743,2209.74449022407,100
2,xalt_edges,96,100,0,1,0.05,4,1,1,1,1,2.4910588,2209.74449022407,100
3,xalt_edges,96,100,0,1,0.05,4,1,1,1,1,2.6649653,2209.74449022407,100
4,xalt_edges,96,100,0,1,0.05,4,1,1,1,1,3.9833565,2209.74449022407,100
5,xalt_edges,96,100,0,1,0.05,4,1,1,1,1,2.7502534,2209.74449022407,100
6,xalt_edges,96,100,0,1,0.05,4,1,1,1,1,2.4689775,2209.74449022407,100
7,xalt_edges,96,100,0,1,0.05,4,1,1,1,1,2.5201989,2209.74449022407,100
8,xalt_edges,96,100,0,1,0.05,4,1,1,1,1,2.6099095,2209.74449022407,100
9,xalt_edges,96,100,0,1,0.05,4,1,1,1,1,2.5554551,2209.74449022407,100
10,xalt_edges,96,100,0,1,0.05,4,1,1,1,1,2.5067513,2209.74449022407,100
1,xalt_edges,128,100,0,1,0.05,4,1,1,1,1,3.3241189,2374.58887948963,100
2,xalt_edges,128,100,0,1,0.05,4,1,1,1,1,3.3255627,2374.58887948963,100
3,xalt_edges,128,100,0,1,0.05,4,1,1,1,1,3.3224249,2374.58887948963,100
4,xalt_edges,128,100,0,1,0.05,4,1,1,1,1,3.4066618,2374.58887948963,100
5,xalt_edges,128,100,0,1,0.05,4,1,1,1,1,3.3597357,2374.58887948963,100
6,xalt_edges,128,100,0,1,0.05,4,1,1,1,1,3.371003,2374.58887948963,100
7,xalt_edges,128,100,0,1,0.05,4,1,1,1,1,3.3488572,2374.58887948963,100
8,xalt_edges,128,100,0,1,0.05,4,1,1,1,1,3.595166,2374.58887948963,100
9,xalt_edges,128,100,0,1,0.05,4,1,1,1,1,3.480981,2374.58887948963,100
10,xalt_edges,128,100,0,1,0.05,4,1,1,1,1,3.3641964,2374.58887948963,100
1,xalt_edges,32,30,0.05,1,0.05,4,1,1,1,1,0.2392286,1890.15698413567,30
2,xalt_edges,32,30,0.05,1,0.05,4,1,1,1,1,0.2417456,1890.15698413567,30
3,xalt_edges,32,30,0.05,1,0.05,4,1,1,1,1,0.2356841,1890.15698413567,30
4,xalt_edges,32,30,0.05,1,0.05,4,1,1,1,1,0.2408532,1890.15698413567,30
5,xalt_edges,32,30,0.05,1,0.05,4,1,1,1,1,0.2387011,1890.15698413567,30
6,xalt_edges,32,30,0.05,1,0.05,4,1,1,1,1,0.2461915,1890.15698413567,30
7,xalt_edges,32,30,0.05,1,0.05,4,1,1,1,1,0.2364616,1890.15698413567,30
8,xalt_edges,32,30,0.05,1,0.05,4,1,1,1,1,0.2374936,1890.15698413567,30
9,xalt_edges,32,30,0.05,1,0.05,4,1,1,1,1,0.2351324,1890.15698413567,30
10,xalt_edges,32,30,0.05,1,0.05,4,1,1,1,1,0.239955,1890.15698413567,30
1,xalt_edges,64,30,0.05,1,0.05,4,1,1,1,1,0.4784449,1862.02748533659,30
2,xalt_edges,64,30,0.05,1,0.05,4,1,1,1,1,0.5050128,1862.02748533659,30
3,xalt_edges,64,30,0.05,1,0.05,4,1,1,1,1,0.5030554,1862.02748533659,30
4,xalt_edges,64,30,0.05,1,0.05,4,1,1,1,1,0.4713655,1862.02748533659,30
5,xalt_edges,64,30,0.05,1,0.05,4,1,1,1,1,0.4900232,1862.02748533659,30
6,xalt_edges,64,30,0.05,1,0.05,4,1,1,1,1,0.4808416,1862.02748533659,30
7,xalt_edges,64,30,0.05,1,0.05,4,1,1,1,1,0.4731465,1862.02748533659,30
8,xalt_edges,64,30,0.05,1,0.05,4,1,1,1,1,0.4752802,1862.02748533659,30
9,xalt_edges,64,30,0.05,1,0.05,4,1,1,1,1,0.4778978,1862.02748533659,30
10,xalt_edges,64,30,0.05,1,0.05,4,1,1,1,1,0.4802092,1862.02748533659,30
1,xalt_edges,96,30,0.05,1,0.05,4,1,1,1,1,0.702656,1957.38818294396,30
2,xalt_edges,96,30,0.05,1,0.05,4,1,1,1,1,0.7036226,1957.38818294396,30
3,xalt_edges,96,30,0.05,1,0.05,4,1,1,1,1,0.711964,1957.38818294396,30
4,xalt_edges,96,30,0.05,1,0.05,4,1,1,1,1,0.7104433,1957.38818294396,30
5,xalt_edges,96,30,0.05,1,0.05,4,1,1,1,1,0.7347036,1957.38818294396,30
6,xalt_edges,96,30,0.05,1,0.05,4,1,1,1,1,0.7099829,1957.38818294396,30
7,xalt_edges,96,30,0.05,1,0.05,4,1,1,1,1,0.7090059,1957.38818294396,30
8,xalt_edges,96,30,0.05,1,0.05,4,1,1,1,1,0.7159728,1957.38818294396,30
9,xalt_edges,96,30,0.05,1,0.05,4,1,1,1,1,0.7028291,1957.38818294396,30
10,xalt_edges,96,30,0.05,1,0.05,4,1,1,1,1,0.7011584,1957.38818294396,30
1,xalt_edges,128,30,0.05,1,0.05,4,1,1,1,1,0.9529229,1888.09785591164,30
2,xalt_edges,128,30,0.05,1,0.05,4,1,1,1,1,0.9481879,1888.09785591164,30
3,xalt_edges,128,30,0.05,1,0.05,4,1,1,1,1,0.9592923,1888.09785591164,30
4,xalt_edges,128,30,0.05,1,0.05,4,1,1,1,1,0.9516972,1888.09785591164,30
5,xalt_edges,128,30,0.05,1,0.05,4,1,1,1,1,0.9427337,1888.09785591164,30
6,xalt_edges,128,30,0.05,1,0.05,4,1,1,1,1,0.9431717,1888.09785591164,30
7,xalt_edges,128,30,0.05,1,0.05,4,1,1,1,1,0.9467893,1888.09785591164,30
8,xalt_edges,128,30,0.05,1,0.05,4,1,1,1,1,0.9549217,1888.09785591164,30
9,xalt_edges,128,30,0.05,1,0.05,4,1,1,1,1,0.9785407,1888.09785591164,30
10,xalt_edges,128,30,0.05,1,0.05,4,1,1,1,1,0.9530757,1888.09785591164,30
1,xalt_edges,32,40,0.05,1,0.05,4,1,1,1,1,0.311043,1853.15045562986,40
2,xalt_edges,32,40,0.05,1,0.05,4,1,1,1,1,0.3330534,1853.15045562986,40
3,xalt_edges,32,40,0.05,1,0.05,4,1,1,1,1,0.3118767,1853.15045562986,40
4,xalt_edges,32,40,0.05,1,0.05,4,1,1,1,1,0.3107883,1853.15045562986,40
5,xalt_edges,32,40,0.05,1,0.05,4,1,1,1,1,0.3252137,1853.15045562986,40
6,xalt_edges,32,40,0.05,1,0.05,4,1,1,1,1,0.3144981,1853.15045562986,40
7,xalt_edges,32,40,0.05,1,0.05,4,1,1,1,1,0.3105282,1853.15045562986,40
8,xalt_edges,32,40,0.05,1,0.05,4,1,1,1,1,0.3270619,1853.15045562986,40
9,xalt_edges,32,40,0.05,1,0.05,4,1,1,1,1,0.3327731,1853.15045562986,40
10,xalt_edges,32,40,0.05,1,0.05,4,1,1,1,1,0.329426,1853.15045562986,40
1,xalt_edges,64,40,0.05,1,0.05,4,1,1,1,1,0.653876,1862.02748533659,40
2,xalt_edges,64,40,0.05,1,0.05,4,1,1,1,1,0.6307939,1862.02748533659,40
3,xalt_edges,64,40,0.05,1,0.05,4,1,1,1,1,0.6421945,1862.02748533659,40
4,xalt_edges,64,40,0.05,1,0.05,4,1,1,1,1,0.6302767,1862.02748533659,40
5,xalt_edges,64,40,0.05,1,0.05,4,1,1,1,1,0.6324179,1862.02748533659,40
6,xalt_edges,64,40,0.05,1,0.05,4,1,1,1,1,0.6265604,1862.02748533659,40
7,xalt_edges,64,40,0.05,1,0.05,4,1,1,1,1,0.6337282,1862.02748533659,40
8,xalt_edges,64,40,0.05,1,0.05,4,1,1,1,1,0.6259143,1862.02748533659,40
9,xalt_edges,64,40,0.05,1,0.05,4,1,1,1,1,0.6272711,1862.02748533659,40
10,xalt_edges,64,40,0.05,1,0.05,4,1,1,1,1,0.6447308,1862.02748533659,40
1,xalt_edges,96,40,0.05,1,0.05,4,1,1,1,1,0.9280459,1868.6366351038,40
2,xalt_edges,96,40,0.05,1,0.05,4,1,1,1,1,0.9208048,1868.6366351038,40
3,xalt_edges,96,40,0.05,1,0.05,4,1,1,1,1,0.9312661,1868.6366351038,40
4,xalt_edges,96,40,0.05,1,0.05,4,1,1,1,1,0.9349816,1868.6366351038,40
5,xalt_edges,96,40,0.05,1,0.05,4,1,1,1,1,0.9319713,1868.6366351038,40
6,xalt_edges,96,40,0.05,1,0.05,4,1,1,1,1,0.9390815,1868.6366351038,40
7,xalt_edges,96,40,0.05,1,0.05,4,1,1,1,1,0.9525571,1868.6366351038,40
8,xalt_edges,96,40,0.05,1,0.05,4,1,1,1,1,0.9657805,1868.6366351038,40
9,xalt_edges,96,40,0.05,1,0.05,4,1,1,1,1,0.9514341,1868.6366351038,40
10,xalt_edges,96,40,0.05,1,0.05,4,1,1,1,1,0.9381887,1868.6366351038,40
1,xalt_edges,128,40,0.05,1,0.05,4,1,1,1,1,1.2705687,1888.09785591164,40
2,xalt_edges,128,40,0.05,1,0.05,4,1,1,1,1,1.2892808,1888.09785591164,40
3,xalt_edges,128,40,0.05,1,0.05,4,1,1,1,1,1.2637227,1888.09785591164,40
4,xalt_edges,128,40,0.05,1,0.05,4,1,1,1,1,1.258522,1888.09785591164,40
5,xalt_edges,128,40,0.05,1,0.05,4,1,1,1,1,1.2666743,1888.09785591164,40
6,xalt_edges,128,40,0.05,1,0.05,4,1,1,1,1,1.254229,1888.09785591164,40
7,xalt_edges,128,40,0.05,1,0.05,4,1,1,1,1,1.2559298,1888.09785591164,40
8,xalt_edges,128,40,0.05,1,0.05,4,1,1,1,1,1.2870724,1888.09785591164,40
9,xalt_edges,128,40,0.05,1,0.05,4,1,1,1,1,1.2605386,1888.09785591164,40
10,xalt_edges,128,40,0.05,1,0.05,4,1,1,1,1,1.2578031,1888.09785591164,40
1,xalt_edges,32,60,0.05,1,0.05,4,1,1,1,1,0.4664239,1788.52514678382,60
2,xalt_edges,32,60,0.05,1,0.05,4,1,1,1,1,0.4708155,1788.52514678382,60
3,xalt_edges,32,60,0.05,1,0.05,4,1,1,1,1,0.4662933,1788.52514678382,60
4,xalt_edges,32,60,0.05,1,0.05,4,1,1,1,1,0.4690479,1788.52514678382,60
5,xalt_edges,32,60,0.05,1,0.05,4,1,1,1,1,0.4773276,1788.52514678382,60
6,xalt_edges,32,60,0.05,1,0.05,4,1,1,1,1,0.4730114,1788.52514678382,60
7,xalt_edges,32,60,0.05,1,0.05,4,1,1,1,1,0.4681785,1788.52514678382,60
8,xalt_edges,32,60,0.05,1,0.05,4,1,1,1,1,0.4891735,1788.52514678382,60
9,xalt_edges,32,60,0.05,1,0.05,4,1,1,1,1,0.4618503,1788.52514678382,60
10,xalt_edges,32,60,0.05,1,0.05,4,1,1,1,1,0.4667609,1788.52514678382,60
1,xalt_edges,64,60,0.05,1,0.05,4,1,1,1,1,0.9360868,1767.83243584619,60
2,xalt_edges,64,60,0.05,1,0.05,4,1,1,1,1,0.9372826,1767.83243584619,60
3,xalt_edges,64,60,0.05,1,0.05,4,1,1,1,1,0.9422618,1767.83243584619,60
4,xalt_edges,64,60,0.05,1,0.05,4,1,1,1,1,0.95098,1767.83243584619,60
5,xalt_edges,64,60,0.05,1,0.05,4,1,1,1,1,0.9417124,1767.83243584619,60
6,xalt_edges,64,60,0.05,1,0.05,4,1,1,1,1,0.9416764,1767.83243584619,60
7,xalt_edges,64,60,0.05,1,0.05,4,1,1,1,1,0.936929,1767.83243584619,60
8,xalt_edges,64,60,0.05,1,0.05,4,1,1,1,1,0.9700927,1767.83243584619,60
9,xalt_edges,64,60,0.05,1,0.05,4,1,1,1,1,0.9378542,1767.83243584619,60
10,xalt_edges,64,60,0.05,1,0.05,4,1,1,1,1,0.9414023,1767.83243584619,60
1,xalt_edges,96,60,0.05,1,0.05,4,1,1,1,1,1.4203779,1850.38025285562,60
2,xalt_edges,96,60,0.05,1,0.05,4,1,1,1,1,1.4100086,1850.38025285562,60
3,xalt_edges,96,60,0.05,1,0.05,4,1,1,1,1,1.4090954,1850.38025285562,60
4,xalt_edges,96,60,0.05,1,0.05,4,1,1,1,1,1.4048872,1850.38025285562,60
5,xalt_edges,96,60,0.05,1,0.05,4,1,1,1,1,1.4108781,1850.38025285562,60
6,xalt_edges,96,60,0.05,1,0.05,4,1,1,1,1,1.3944685,1850.38025285562,60
7,xalt_edges,96,60,0.05,1,0.05,4,1,1,1,1,1.3933697,1850.38025285562,60
8,xalt_edges,96,60,0.05,1,0.05,4,1,1,1,1,1.3942933,1850.38025285562,60
9,xalt_edges,96,60,0.05,1,0.05,4,1,1,1,1,1.401007,1850.38025285562,60
10,xalt_edges,96,60,0.05,1,0.05,4,1,1,1,1,1.4064066,1850.38025285562,60
1,xalt_edges,128,60,0.05,1,0.05,4,1,1,1,1,1.8917453,1738.68699635326,60
2,xalt_edges,128,60,0.05,1,0.05,4,1,1,1,1,1.9259189,1738.68699635326,60
3,xalt_edges,128,60,0.05,1,0.05,4,1,1,1,1,1.9859426,1738.68699635326,60
4,xalt_edges,128,60,0.05,1,0.05,4,1,1,1,1,1.8823237,1738.68699635326,60
5,xalt_edges,128,60,0.05,1,0.05,4,1,1,1,1,1.9773416,1738.68699635326,60
6,xalt_edges,128,60,0.05,1,0.05,4,1,1,1,1,1.9178568,1738.68699635326,60
7,xalt_edges,128,60,0.05,1,0.05,4,1,1,1,1,1.9069441,1738.68699635326,60
8,xalt_edges,128,60,0.05,1,0.05,4,1,1,1,1,1.9103219,1738.68699635326,60
9,xalt_edges,128,60,0.05,1,0.05,4,1,1,1,1,1.9408019,1738.68699635326,60
10,xalt_edges,128,60,0.05,1,0.05,4,1,1,1,1,1.9031578,1738.68699635326,60
1,xalt_edges,32,80,0.05,1,0.05,4,1,1,1,1,0.6825842,1788.52514678382,80
2,xalt_edges,32,80,0.05,1,0.05,4,1,1,1,1,0.6250144,1788.52514678382,80
3,xalt_edges,32,80,0.05,1,0.05,4,1,1,1,1,0.6227515,1788.52514678382,80
4,xalt_edges,32,80,0.05,1,0.05,4,1,1,1,1,0.6291922,1788.52514678382,80
5,xalt_edges,32,80,0.05,1,0.05,4,1,1,1,1,0.6350664,1788.52514678382,80
6,xalt_edges,32,80,0.05,1,0.05,4,1,1,1,1,0.6299216,1788.52514678382,80
7,xalt_edges,32,80,0.05,1,0.05,4,1,1,1,1,0.6313052,1788.52514678382,80
8,xalt_edges,32,80,0.05,1,0.05,4,1,1,1,1,0.6246395,1788.52514678382,80
9,xalt_edges,32,80,0.05,1,0.05,4,1,1,1,1,0.6371796,1788.52514678382,80
10,xalt_edges,32,80,0.05,1,0.05,4,1,1,1,1,0.6216565,1788.52514678382,80
1,xalt_edges,64,80,0.05,1,0.05,4,1,1,1,1,1.2648762,1767.83243584619,80
2,xalt_edges,64,80,0.05,1,0.05,4,1,1,1,1,1.2632775,1767.83243584619,80
3,xalt_edges,64,80,0.05,1,0.05,4,1,1,1,1,1.2556709,1767.83243584619,80
4,xalt_edges,64,80,0.05,1,0.05,4,1,1,1,1,1.2646447,1767.83243584619,80
5,xalt_edges,64,80,0.05,1,0.05,4,1,1,1,1,1.3095409,1767.83243584619,80
6,xalt_edges,64,80,0.05,1,0.05,4,1,1,1,1,1.2498625,1767.83243584619,80
7,xalt_edges,64,80,0.05,1,0.05,4,1,1,1,1,1.2609161,1767.83243584619,80
8,xalt_edges,64,80,0.05,1,0.05,4,1,1,1,1,1.2663052,1767.83243584619,80
9,xalt_edges,64,80,0.05,1,0.05,4,1,1,1,1,1.2672367,1767.83243584619,80
10,xalt_edges,64,80,0.05,1,0.05,4,1,1,1,1,1.2556861,1767.83243584619,80
1,xalt_edges,96,80,0.05,1,0.05,4,1,1,1,1,1.8860461,1850.38025285562,80
2,xalt_edges,96,80,0.05,1,0.05,4,1,1,1,1,1.8716823,1850.38025285562,80
3,xalt_edges,96,80,0.05,1,0.05,4,1,1,1,1,1.8851106,1850.38025285562,80
4,xalt_edges,96,80,0.05,1,0.05,4,1,1,1,1,1.90281,1850.38025285562,80
5,xalt_edges,96,80,0.05,1,0.05,4,1,1,1,1,1.8839418,1850.38025285562,80
6,xalt_edges,96,80,0.05,1,0.05,4,1,1,1,1,1.8997019,1850.38025285562,80
7,xalt_edges,96,80,0.05,1,0.05,4,1,1,1,1,1.8698896,1850.38025285562,80
8,xalt_edges,96,80,0.05,1,0.05,4,1,1,1,1,1.8763365,1850.38025285562,80
9,xalt_edges,96,80,0.05,1,0.05,4,1,1,1,1,1.872587,1850.38025285562,80
10,xalt_edges,96,80,0.05,1,0.05,4,1,1,1,1,1.8740403,1850.38025285562,80
1,xalt_edges,128,80,0.05,1,0.05,4,1,1,1,1,2.5662837,1738.68699635326,80
2,xalt_edges,128,80,0.05,1,0.05,4,1,1,1,1,2.5531892,1738.68699635326,80
3,xalt_edges,128,80,0.05,1,0.05,4,1,1,1,1,2.5285956,1738.68699635326,80
4,xalt_edges,128,80,0.05,1,0.05,4,1,1,1,1,2.5741657,1738.68699635326,80
5,xalt_edges,128,80,0.05,1,0.05,4,1,1,1,1,2.5423344,1738.68699635326,80
6,xalt_edges,128,80,0.05,1,0.05,4,1,1,1,1,2.517957,1738.68699635326,80
7,xalt_edges,128,80,0.05,1,0.05,4,1,1,1,1,2.526615,1738.68699635326,80
8,xalt_edges,128,80,0.05,1,0.05,4,1,1,1,1,2.5570089,1738.68699635326,80
9,xalt_edges,128,80,0.05,1,0.05,4,1,1,1,1,2.5647876,1738.68699635326,80
10,xalt_edges,128,80,0.05,1,0.05,4,1,1,1,1,2.5497488,1738.68699635326,80
1,xalt_edges,32,100,0.05,1,0.05,4,1,1,1,1,0.7856961,1788.52514678382,100
2,xalt_edges,32,100,0.05,1,0.05,4,1,1,1,1,0.7804509,1788.52514678382,100
3,xalt_edges,32,100,0.05,1,0.05,4,1,1,1,1,0.8058257,1788.52514678382,100
4,xalt_edges,32,100,0.05,1,0.05,4,1,1,1,1,0.7979066,1788.52514678382,100
5,xalt_edges,32,100,0.05,1,0.05,4,1,1,1,1,0.7734572,1788.52514678382,100
6,xalt_edges,32,100,0.05,1,0.05,4,1,1,1,1,0.7724536,1788.52514678382,100
7,xalt_edges,32,100,0.05,1,0.05,4,1,1,1,1,0.7719247,1788.52514678382,100
8,xalt_edges,32,100,0.05,1,0.05,4,1,1,1,1,0.7678261,1788.52514678382,100
9,xalt_edges,32,100,0.05,1,0.05,4,1,1,1,1,0.7746848,1788.52514678382,100
10,xalt_edges,32,100,0.05,1,0.05,4,1,1,1,1,0.7914404,1788.52514678382,100
1,xalt_edges,64,100,0.05,1,0.05,4,1,1,1,1,1.5658717,1767.83243584619,100
2,xalt_edges,64,100,0.05,1,0.05,4,1,1,1,1,1.5801823,1767.83243584619,100
3,xalt_edges,64,100,0.05,1,0.05,4,1,1,1,1,1.5654855,1767.83243584619,100
4,xalt_edges,64,100,0.05,1,0.05,4,1,1,1,1,1.5714841,1767.83243584619,100
5,xalt_edges,64,100,0.05,1,0.05,4,1,1,1,1,1.5705527,1767.83243584619,100
6,xalt_edges,64,100,0.05,1,0.05,4,1,1,1,1,1.5821545,1767.83243584619,100
7,xalt_edges,64,100,0.05,1,0.05,4,1,1,1,1,1.595836,1767.83243584619,100
8,xalt_edges,64,100,0.05,1,0.05,4,1,1,1,1,1.5637599,1767.83243584619,100
9,xalt_edges,64,100,0.05,1,0.05,4,1,1,1,1,1.5731877,1767.83243584619,100
10,xalt_edges,64,100,0.05,1,0.05,4,1,1,1,1,1.604115,1767.83243584619,100
1,xalt_edges,96,100,0.05,1,0.05,4,1,1,1,1,2.3406608,1837.01564643894,100
2,xalt_edges,96,100,0.05,1,0.05,4,1,1,1,1,2.3459083,1837.01564643894,100
3,xalt_edges,96,100,0.05,1,0.05,4,1,1,1,1,2.4570784,1837.01564643894,100
4,xalt_edges,96,100,0.05,1,0.05,4,1,1,1,1,2.5054088,1837.01564643894,100
5,xalt_edges,96,100,0.05,1,0.05,4,1,1,1,1,26.6074442,1837.01564643894,100
6,xalt_edges,96,100,0.05,1,0.05,4,1,1,1,1,7.140636,1837.01564643894,100
7,xalt_edges,96,100,0.05,1,0.05,4,1,1,1,1,2.4572943,1837.01564643894,100
8,xalt_edges,96,100,0.05,1,0.05,4,1,1,1,1,2.3774807,1837.01564643894,100
9,xalt_edges,96,100,0.05,1,0.05,4,1,1,1,1,2.3768141,1837.01564643894,100
10,xalt_edges,96,100,0.05,1,0.05,4,1,1,1,1,2.4204361,1837.01564643894,100
1,xalt_edges,128,100,0.05,1,0.05,4,1,1,1,1,3.2246159,1738.68699635326,100
2,xalt_edges,128,100,0.05,1,0.05,4,1,1,1,1,3.2378214,1738.68699635326,100
3,xalt_edges,128,100,0.05,1,0.05,4,1,1,1,1,3.2242473,1738.68699635326,100
