	CROSSOVER	PR_CROSS	MutationMethode	PR_MUT	ELITIST	Average_path_length	Average_time
66	xalt_edges	0.65	insert	0.3	0.01	803.5817549265413	4.79137988
67	xalt_edges	0.65	insert	0.3	0.05	756.5212779596193	4.64648355
68	xalt_edges	0.65	insert	0.3	0.1	752.36278109953	4.45645727
69	xalt_edges	0.65	insert	0.7	0.01	801.9462433297601	5.98713823
70	xalt_edges	0.65	insert	0.7	0.05	773.3684673497971	5.81393574
71	xalt_edges	0.65	insert	0.7	0.1	771.6540857073435	5.538738440000001
72	xalt_edges	0.15	inversion	0.15	0.01	686.995340969655	4.99661657
73	xalt_edges	0.15	inversion	0.15	0.05	670.1462987102561	4.939771
74	xalt_edges	0.15	inversion	0.15	0.1	682.5419820131367	4.94989174
75	xalt_edges	0.15	inversion	0.3	0.01	647.9193484018862	4.89893221
76	xalt_edges	0.15	inversion	0.3	0.05	637.3768466636214	4.5594778400000004
77	xalt_edges	0.15	inversion	0.3	0.1	643.0533892407054	4.38244032
78	xalt_edges	0.15	inversion	0.7	0.01	723.1737645126458	5.878311000000001
79	xalt_edges	0.15	inversion	0.7	0.05	661.7396368288901	5.68362719
80	xalt_edges	0.15	inversion	0.7	0.1	653.0401160440869	5.460566269999999
81	xalt_edges	0.15	reciprocal_exchange	0.15	0.01	893.5582072783524	4.1571791000000005
82	xalt_edges	0.15	reciprocal_exchange	0.15	0.05	906.9788582142448	3.7732792499999994
83	xalt_edges	0.15	reciprocal_exchange	0.15	0.1	918.2763845842804	3.6127236800000007
84	xalt_edges	0.15	reciprocal_exchange	0.3	0.01	859.5320206797626	4.53133159
85	xalt_edges	0.15	reciprocal_exchange	0.3	0.05	844.2788404147689	4.37516781
86	xalt_edges	0.15	reciprocal_exchange	0.3	0.1	880.5706167642782	4.2135943
87	xalt_edges	0.15	reciprocal_exchange	0.7	0.01	909.4411979612307	5.38280018
88	xalt_edges	0.15	reciprocal_exchange	0.7	0.05	859.942801028307	5.24344474
89	xalt_edges	0.15	reciprocal_exchange	0.7	0.1	836.8925990525246	5.03828981
90	xalt_edges	0.15	scramble	0.15	0.01	869.1061006576516	4.363146489999999
91	xalt_edges	0.15	scramble	0.15	0.05	870.3197308838826	3.8878706999999997
92	xalt_edges	0.15	scramble	0.15	0.1	885.727426754217	3.37740339
93	xalt_edges	0.15	scramble	0.3	0.01	814.8269134836554	4.9013288500000005
94	xalt_edges	0.15	scramble	0.3	0.05	815.2912943181817	4.75540202
95	xalt_edges	0.15	scramble	0.3	0.1	818.3682996543445	4.58084399
96	xalt_edges	0.15	scramble	0.7	0.01	865.6522257333869	6.2345177199999995
97	xalt_edges	0.15	scramble	0.7	0.05	829.832248428349	6.009821499999999
98	xalt_edges	0.15	scramble	0.7	0.1	822.1650243499546	5.76519593
99	xalt_edges	0.15	insert	0.15	0.01	799.995415552481	4.29029505
100	xalt_edges	0.15	insert	0.15	0.05	818.841070963769	4.207081359999999
101	xalt_edges	0.15	insert	0.15	0.1	821.5231938723143	3.79511103
102	xalt_edges	0.15	insert	0.3	0.01	803.5817549265413	4.79945402
103	xalt_edges	0.15	insert	0.3	0.05	756.5212779596193	4.64001382
104	xalt_edges	0.15	insert	0.3	0.1	752.36278109953	4.48744604
105	xalt_edges	0.15	insert	0.7	0.01	801.9462433297601	6.00979952
106	xalt_edges	0.15	insert	0.7	0.05	773.3684673497971	5.81008416
107	xalt_edges	0.15	insert	0.7	0.1	771.6540857073435	5.5356596399999995
108	xpmx	0.7	inversion	0.15	0.01	686.995340969655	4.24216951
109	xpmx	0.7	inversion	0.15	0.05	670.1462987102561	4.3873026600000005
110	xpmx	0.7	inversion	0.15	0.1	682.5419820131367	3.80485421
111	xpmx	0.7	inversion	0.3	0.01	647.9193484018862	6.259340440000001
112	xpmx	0.7	inversion	0.3	0.05	637.3768466636214	11.65448862
113	xpmx	0.7	inversion	0.3	0.1	643.0533892407054	5.938467579999999
114	xpmx	0.7	inversion	0.7	0.01	723.1737645126458	6.90864136
115	xpmx	0.7	inversion	0.7	0.05	661.7396368288901	5.94035261
