NumberOfRuns,CROSSOVER,NIND,MAXGEN,ELITIST,PR_CROSS,PR_MUT,stoppingCriteria,n_percentage,delta,InitializationMethode,RepresentationMethode,Time,ShortestPath,Generations
1,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,1.9284573,9101.10997357425,100
2,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,1.730968,9727.16714956604,100
3,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,1.7392615,9051.19403365753,100
4,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,1.7449153,9749.35215298261,100
5,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,1.7444105,9264.09136063922,100
6,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,1.7360867,9690.11287826642,100
7,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,1.7579092,9125.47888001374,100
8,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,1.7523173,8725.2936230828,100
9,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,1.824191,9233.03156872212,100
10,xalt_edges,128,100,0.05,0.05,0.95,4,1,1,1,1,1.7574827,9631.54408847226,100
