	Survivor Method	q	Average path length	Average time (s)
0	1	5	704.9277712341324	7.231243655555556
1	1	10	703.6298900708068	8.73201921
2	1	50	703.6298900708068	5.01491972
3	1	100	703.6298900708068	5.37753802
4	2	-	711.7035087894986	6.289360207594941
